,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
0,Brooklyn Nets,Golden State Warriors,1.0,0.457,0.429,0.813,50.9,21.4,17.9,9.8,6.3,23.2,111.6,88.4,0.589,0.0,0.374,0.303,0.652,42.0,23.2,16.1,5.4,5.4,-23.2,88.4,111.6,0.454,1,12/22/2020
1,Los Angeles Lakers,LA Clippers,0.0,0.469,0.31,0.774,43.3,21.2,18.3,3.8,1.9,-6.7,104.8,111.5,0.576,1.0,0.473,0.35,0.737,38.5,21.2,15.4,9.6,2.9,6.7,111.5,104.8,0.572,0,12/22/2020
2,Boston Celtics,Milwaukee Bucks,1.0,0.475,0.45,0.727,37.0,23.0,7.0,8.0,6.0,1.0,122.0,119.8,0.576,0.0,0.511,0.4,0.833,51.5,18.8,15.8,4.0,5.9,-1.0,119.8,122.0,0.618,1,12/23/2020
3,Philadelphia 76ers,Washington Wizards,1.0,0.471,0.286,0.767,43.5,20.4,16.7,10.2,7.4,5.6,104.6,100.0,0.564,0.0,0.459,0.481,0.696,37.4,26.2,18.7,6.5,3.7,-5.6,100.0,104.6,0.562,1,12/23/2020
4,Memphis Grizzlies,San Antonio Spurs,0.0,0.516,0.37,0.611,38.5,24.8,10.1,5.5,7.3,-11.0,109.2,120.2,0.578,1.0,0.505,0.4,0.862,44.0,25.7,10.1,7.3,7.3,11.0,120.2,109.2,0.608,0,12/23/2020
5,Chicago Bulls,Atlanta Hawks,0.0,0.414,0.229,0.857,34.6,18.7,15.9,9.3,2.8,-18.7,97.2,117.0,0.524,1.0,0.538,0.4,0.828,43.4,22.6,21.7,5.7,2.8,18.9,117.0,97.2,0.668,0,12/23/2020
6,Minnesota Timberwolves,Detroit Pistons,1.0,0.432,0.268,0.857,47.5,24.8,11.9,5.9,5.0,9.9,109.9,99.0,0.553,0.0,0.484,0.229,0.375,43.1,28.4,14.7,4.9,2.0,-9.8,99.0,109.9,0.523,1,12/23/2020
7,Denver Nuggets,Sacramento Kings,0.0,0.48,0.276,0.833,41.1,25.0,13.4,5.4,9.8,-1.8,108.9,111.7,0.562,1.0,0.441,0.323,0.774,48.6,24.3,13.5,4.5,6.3,1.8,111.7,108.9,0.536,0,12/23/2020
8,Portland Trail Blazers,Utah Jazz,0.0,0.402,0.364,0.824,40.4,23.2,6.1,6.1,3.0,-20.2,101.0,120.0,0.503,1.0,0.457,0.38,0.789,59.0,24.0,11.0,3.0,3.0,20.0,120.0,101.0,0.586,0,12/23/2020
9,Phoenix Suns,Dallas Mavericks,1.0,0.481,0.367,0.704,46.6,20.4,18.4,6.8,6.8,3.9,102.9,99.0,0.583,0.0,0.424,0.243,0.808,37.9,16.5,11.7,5.8,0.0,-3.9,99.0,102.9,0.529,1,12/23/2020
10,Orlando Magic,Miami Heat,1.0,0.477,0.357,0.633,38.3,21.5,16.8,14.0,2.8,5.6,105.6,100.9,0.558,0.0,0.506,0.35,0.842,40.6,23.6,20.8,10.4,1.9,-5.7,100.9,105.6,0.586,1,12/23/2020
11,Indiana Pacers,New York Knicks,1.0,0.489,0.235,0.724,46.7,26.2,12.1,5.6,8.4,13.1,113.1,101.9,0.567,0.0,0.459,0.429,0.739,38.1,23.8,15.2,7.6,7.6,-13.3,101.9,113.1,0.562,1,12/23/2020
12,Cleveland Cavaliers,Charlotte Hornets,1.0,0.529,0.467,0.75,49.0,33.3,20.6,11.8,2.9,6.9,118.6,111.8,0.632,0.0,0.5,0.364,0.533,31.4,28.4,14.7,9.8,3.9,-6.9,111.8,118.6,0.59,1,12/23/2020
13,Toronto Raptors,New Orleans Pelicans,0.0,0.427,0.304,0.75,33.3,24.8,20.0,9.5,4.8,-13.3,94.3,108.7,0.525,1.0,0.525,0.452,0.5,43.3,28.8,26.0,12.5,6.7,13.5,108.7,94.3,0.636,0,12/23/2020
